Id,Title,ISBN,ISBN13,Edition,Publisher,Pages,Setting/bg,Setting/yr,Language,Awards,Published,First Published,Cover,Auther,Genres,Sub-Genres,Series,Series #
197263910,The Shadow of the Wind,143034901,9.78014E+12,,Penguin,487,(Spain),1945,English,5,2005,2001,Paperback,Carlos Ruiz Zafón,Mystery; Historical Fiction; Cutural,Spain,,
201928375,The Princess Bride,345418263,9.78035E+12,30th Anniversary,Ballantine Books,398,,,English,,2003,1973,Paperback,William Goldman,Fantasy; Classics; Romance; Humor,,,
637211294,The Memory Keeper's Daughter,143037145,9.78014E+12,,Penguin,401,(US); (France),,English,,2006,2005,Paperback,Kim Edwards,Contemporary; Adult; Drama,,,
388492017,A Storm of Swords,055357342X,9.78055E+12,,Bantam,1177,Westeros,,English,2,2003,2000,Mass Market Paperback,George R.R. Martin,Fantasy,Epic Fantasy,A Song of Ice and Fire,3
211109254,The Color Purple,671727796,,,Pocket,295,Georgia (US),,English,2,2004,1982,Paperback,Alice Walker,Classics; Historical Fiction; Cultural,African American,,
612993712,The Pillars of the Earth,451207149,9.78045E+12,,NAL Trade,973,England (UK),,English,,2002,1989,Paperback,Ken Follett,Historical Fiction; Historical Fiction,Medieval,The Pillars of the Earth,1
139920127,Siddhartha,553208845,9.78055E+12,,Bantam,152,(India),,English,,1981,1922,Paperback,Hermann Hesse,Classics; Philosophy; Religion,Buddhism,,
577281882,Bridget Jones's Diary,014028009X,9.78014E+12,,Penguin,271,(UK),,English,,1999,1996,Paperback,Helen Fielding,Womens Fiction; Romance; Humor,Chick Lit,,
166729835,Les Misérables,451525264,9.78045E+12,,Signet Classicss,1463,Paris (France),1832,English,,1987,1862,Paperback,Victor Hugo,Classics; Historical Fiction; Literature; Cultural,France,,
312938275,The Amazing Adventures of Kavalier & Clay,312282990,9.78031E+12,,Picador USA,636,New York (US),,English,,2001,2000,Paperback,Michael Chabon,Historical Fiction,,,
355626177,East of Eden,142000655,9.78014E+12,,Penguin,601,California (US),,English,,2002,1952,Paperback,John Steinbeck,Classics; Literature,,,
219982731,Watership Down,038039586X,9.78038E+12,,Avon Books,478,Hampshire (UK),,English,,1975,1972,Mass Market Paperback,Richard Adams,Classics; Fantasy; Young Adult; Animals,,Watership Down,1
398477192,The Unbearable Lightness of Being,571224385,9.78057E+12,,,314,,,English,1,1999,1984,Paperback,Milan Kundera,Classics; Philosophy,,,
394881065,The Fountainhead,451191153,9.78045E+12,Centennial,Signet Classicss,720,New York (US),,English,,1996,1943,Paperback,Ayn Rand,Classics; Philosophy,,,
218377462,The Metamorphosis,553213695,9.78055E+12,,Bantam,201,,,English,,1972,1915,Paperback,Franz Kafka,Classics; Philosophy; Literature; Fantasy,,,
214462810,On the Road,140042598,9.78014E+12,,Penguin,307,(US),,English,,1976,1957,Paperback,Jack Kerouac,Classics; Travel,,Duluoz Legend,
298637201,Dune,340839937,9.78034E+12,,Hodder & Stoughton,604,Arrakis,,English,,2006,1965,Paperback,Frank Herbert,Classics; Fantasy; Sci-fi,,Dune Chronicles,1
556652918,The Five People You Meet in Heaven,1401308589,9.7814E+12,,Hyperion,196,(US),,English,,2003,2003,Paperback,Mitch Albom,Inspirational; Contemporary; Fantasy,,,
299930195,The Thirteenth Tale,743298020,9.78074E+12,,Atria Books,406,,,English,2,2006,2006,Hardcover,Diane Setterfield,Mystery; Historical Fiction; Gothic,,,
463677874,The Shining,450040186,9.78045E+12,,Hodder & Stoughton,512,Colorado (US),1977,English,,1980,1977,Paperback,Stephen King,Horror; Thriller; Fantasy,,,
463662810,The Stand,385199570,9.78039E+12,Complete & Uncut,Doubleday,1168,(US),1990,English,,1990,1978,Hardcover,Stephen King,Horror; Thriller; Fantasy; Sci-fi; Apocalyptic,Post Apocalyptic,,
638281992,The Casual Vacancy,316228532,9.78032E+12,1st,Little; Brown and Company,505,Pagford (UK),,English,,2012,2012,Hardcover,J. K. Rowling,Contemporary; Adult; Mystery,,,
388492018,A Feast for Crows,055358202X,9.78055E+12,,Bantam,976,,,English,,2006,2005,Mass Market Paperback,George R.R. Martin,Fantasy,Epic Fantasy,A Song of Ice and Fire,4
